,,grammatical,number of,number of,graphemic,number of,number of,EQOL,Levenstein,Grapheme-Phoneme segmentation,,,Phoneme-Grapheme segmentation,,,Rime segmentation,,,Rime match frequency,,Ortho-Phono rime consistency,,Phono-Ortho rime consistency,,G-Ph frequency,,Ph-G frequency,,G-Ph consistency,,Ph-G consistency,,Least frequent G-Ph,,Least frequent Ph-G,,Least consistent G-Ph,,Least consistent Ph-G,,Frequency initial G-Ph,,Mean frequency internal G-Ph,,Frequency final G-Ph,,Frequency initial Ph-G,,Mean frequency internal Ph-G,,Frequency final Ph-G,,Consistency initial G-Ph,,Mean consistency internal G-Ph,,Consistency final G-Ph,,Consistency initial Ph-G,,Mean Consistencyinternal Ph-G,,Consistency final Ph-G,
abrite,abRit,VER,6,5,1.2,6,2,6.21954,2.25,.a.b.r.i.t.e,.a.b.R.i.t.°,(a-a.b-b.r-R.i-i.t-t.e-°),.a.b.r.i.te,.a.b.R.i.t,(a-a.b-b.r-R.i-i.te-t),ite,it,ite-it,35,1123,100,100,48.611,64.121,3170,109397,2189,61360,91.926,90.647,86.999,82.805,789,b-b,358,te-t,74.122,i-i,42.118,te-t,1012,30398.147,3762,114402.761,2962,168375.764,1012,30398.147,3191,85854.994,358,18839.025,99.508,96.524,88.013,86.839,100,100,99.901,62.317,97.659,97.639,42.118,58.793
abritent,abRit,VER,8,5,1.6,7,2,3.10977,2.6,.a.b.r.i.t.en.t,.a.b.R.i.t.#.#,(a-a.b-b.r-R.i-i.t-t.en-#.t-#),.a.b.r.i.tent,.a.b.R.i.t,(a-a.b-b.r-R.i-i.tent-t),itent,it,itent-it,13,239,100,100,18.056,13.677,2681,83955,2135,57898,83.702,81.491,80.717,72,650,en-#,91,tent-t,35.269,en-#,10.706,tent-t,1012,30398.147,3140,94145.627,2055,86557.658,1012,30398.147,3191,85854.994,91,1526.903,99.508,96.524,77.464,75.062,99.084,98.604,99.901,62.317,97.659,97.639,10.706,4.765
abriter,abRite,VER,7,6,1.17,6,3,3.10977,2.5,.a.b.r.i.t.er,.a.b.R.i.t.e,(a-a.b-b.r-R.i-i.t-t.er-e),.a.b.r.i.t.er,.a.b.R.i.t.e,(a-a.b-b.r-R.i-i.t-t.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,2811,84612,2412,65290,91.682,89.81,86.215,81.841,789,b-b,751,b-b,74.122,i-i,30.504,er-e,1012,30398.147,3762,114402.761,805,19660.067,1012,30398.147,3164,85421.177,805,19660.067,99.508,96.524,88.013,86.839,98.531,94.982,99.901,62.317,96.721,97.149,30.504,40.134
abrupts,abRypt,"ADJ,NC",7,6,1.17,7,2,3.10977,3.25,.a.b.r.u.p.t.s,.a.b.R.y.p.t.#,(a-a.b-b.r-R.u-y.p-p.t-t.s-#),.a.b.r.u.p.ts,.a.b.R.y.p.t,(a-a.b-b.r-R.u-y.p-p.ts-t),upts,ypt,upts-ypt,1,3,100,100,100,100,2636,93787,1541,44499,93.394,91.048,79.837,74.039,789,b-b,7,ts-t,80.266,u-y,0.824,ts-t,1012,30398.147,2688,83150.039,4002,210357.889,1012,30398.147,2057,59132.578,7,65.306,99.508,96.524,91.034,88.818,99.084,96.724,99.901,62.317,94.575,95.428,0.824,0.204
absence,aps@s,NC,7,5,1.4,6,2,9.32932,2.9,.a.b.s.en.c.e,.a.p.s.@.s.°,(a-a.b-p.s-s.en-@.c-s.e-°),.a.b.s.en.ce,.a.p.s.@.s,(a-a.b-p.s-s.en-@.ce-s),ence,@s,ence-@s,32,818,100,100,29.358,27.482,1134,46393,558,15837,58.575,57.301,43.366,36.104,50,b-p,50,b-p,5.959,b-p,3.277,b-p,1012,30398.147,708,19895.624,2962,168375.764,1012,30398.147,544,13809.525,145,7357.728,99.508,96.524,37.985,36.82,100,100,99.901,62.317,28.928,28.879,30.146,31.568
absents,aps@,"ADJ,NC",7,4,1.75,6,2,3.10977,2.85,.a.b.s.en.t.s,.a.p.s.@.#.#,(a-a.b-p.s-s.en-@.t-#.s-#),.a.b.s.ents,.a.p.s.@,(a-a.b-p.s-s.ents-@),ents,@,ents-@,84,2926,100,100,9.745,5.33,1239,52061,542,14965,52.922,51.667,38.211,28.128,50,b-p,50,b-p,5.959,b-p,3.277,b-p,1012,30398.147,605,17903.026,4002,210357.889,1012,30398.147,533,13194.827,92,3072.466,99.508,96.524,29.735,29.189,99.084,96.724,99.901,62.317,21.432,21.438,10.077,7.321
absolue,apsOly,ADJ,7,6,1.17,7,3,9.32932,2.9,.a.b.s.o.l.u.e,.a.p.s.O.l.y.#,(a-a.b-p.s-s.o-O.l-l.u-y.e-#),.a.b.s.o.l.ue,.a.p.s.O.l.y,(a-a.b-p.s-s.o-O.l-l.ue-y),ue,y,ue-y,66,1284,100,100,24.354,6.384,1295,37201,1096,30247,63.338,57.948,59.885,50.998,50,b-p,50,b-p,5.959,b-p,3.277,b-p,1012,30398.147,1492,43230.993,591,13854.118,1012,30398.147,1375,37449.604,66,1284.341,99.508,96.524,65.453,60.849,16.592,4.866,99.901,62.317,58.696,59.305,24.627,6.449
absolument,apsOlym@,ADV,10,8,1.25,9,4,9.32932,3.85,.a.b.s.o.l.u.m.en.t,.a.p.s.O.l.y.m.@.#,(a-a.b-p.s-s.o-O.l-l.u-y.m-m.en-@.t-#),.a.b.s.o.l.u.m.ent,.a.p.s.O.l.y.m.@,(a-a.b-p.s-s.o-O.l-l.u-y.m-m.ent-@),ent,@,ent-@,303,8885,100,100,35.151,16.181,1434,44636,1149,32504,75.536,73.514,69.64,63.698,50,b-p,50,b-p,5.959,b-p,3.277,b-p,1012,30398.147,1405,40681.765,2055,86557.658,1012,30398.147,1312,36764.408,309,9049.468,99.508,96.524,68.748,66.643,99.084,98.604,99.901,62.317,70.563,70.95,33.844,21.564
absorbe,apsORb,VER,7,6,1.17,7,2,3.10977,2.6,.a.b.s.o.r.b.e,.a.p.s.O.R.b.°,(a-a.b-p.s-s.o-O.r-R.b-b.e-°),.a.b.s.o.r.be,.a.p.s.O.R.b,(a-a.b-p.s-s.o-O.r-R.be-b),orbe,ORb,orbe-ORb,1,3,100,100,33.333,25,2063,73683,1580,43351,77.243,74.236,64.655,59.643,50,b-p,20,be-b,5.959,b-p,3.277,b-p,1012,30398.147,2093,63401.674,2962,168375.764,1012,30398.147,2112,57130.67,20,1184.823,99.508,96.524,68.239,64.625,100,100,99.901,62.317,59.508,59.497,50,57.553
absorbé,apsORbe,"VER,ADJ",7,7,1,7,3,3.10977,3.05,.a.b.s.o.r.b.é,.a.p.s.O.R.b.e,(a-a.b-p.s-s.o-O.r-R.b-b.é-e),.a.b.s.o.r.b.é,.a.p.s.O.R.b.e,(a-a.b-p.s-s.o-O.r-R.b-b.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,1740,51486,1559,42195,77.243,74.236,66.354,60.971,50,b-p,50,b-p,5.959,b-p,3.277,b-p,1012,30398.147,2093,63401.674,704,12995.844,1012,30398.147,1839,50394.093,704,12995.844,99.508,96.524,68.239,64.625,100,100,99.901,62.317,67.58,67.59,26.677,26.53
absorbent,apsORb,VER,9,6,1.5,8,2,6.21954,3.2,.a.b.s.o.r.b.en.t,.a.p.s.O.R.b.°.#,(a-a.b-p.s-s.o-O.r-R.b-b.en-°.t-#),.a.b.s.o.r.bent,.a.p.s.O.R.b,(a-a.b-p.s-s.o-O.r-R.bent-b),orbent,ORb,orbent-ORb,1,6,100,100,33.333,50,1705,54358,1577,43160,68.219,65.022,57.572,50.378,50,b-p,3,bent-b,5.959,b-p,3.277,b-p,1012,30398.147,1763,52985.037,2055,86557.658,1012,30398.147,2112,57130.67,3,40.428,99.508,96.524,57.86,54.175,99.084,98.604,99.901,62.317,59.508,59.497,7.5,1.964
absorbes,apsORb,VER,8,6,1.33,8,2,3.10977,2.85,.a.b.s.o.r.b.e.s,.a.p.s.O.R.b.°.#,(a-a.b-p.s-s.o-O.r-R.b-b.e-°.s-#),.a.b.s.o.r.bes,.a.p.s.O.R.b,(a-a.b-p.s-s.o-O.r-R.bes-b),orbes,ORb,orbes-ORb,1,3,100,100,33.333,25,2215,77057,1579,43288,79.973,77.047,62.155,56.572,50,b-p,14,bes-b,5.959,b-p,3.277,b-p,1012,30398.147,2117,62617.081,4002,210357.889,1012,30398.147,2112,57130.67,14,805.432,99.508,96.524,73.532,70.521,99.084,96.724,99.901,62.317,59.508,59.497,35,39.124
absurde,apsyRd,"ADJ,NC",7,6,1.17,7,2,3.10977,2.7,.a.b.s.u.r.d.e,.a.p.s.y.R.d.°,(a-a.b-p.s-s.u-y.r-R.d-d.e-°),.a.b.s.u.r.de,.a.p.s.y.R.d,(a-a.b-p.s-s.u-y.r-R.de-d),urde,yRd,urde-yRd,1,3,100,100,50,50,1980,71592,1398,40158,76.26,73.163,65.589,62.2,50,b-p,50,b-p,5.959,b-p,3.277,b-p,1012,30398.147,1977,60474.117,2962,168375.764,1012,30398.147,1814,51058.022,121,6315.962,99.508,96.524,66.863,63.124,100,100,99.901,62.317,59.272,59.503,56.542,72.874
absurdes,apsyRd,"ADJ,NC",8,6,1.33,8,2,3.10977,3.15,.a.b.s.u.r.d.e.s,.a.p.s.y.R.d.°.#,(a-a.b-p.s-s.u-y.r-R.d-d.e-°.s-#),.a.b.s.u.r.des,.a.p.s.y.R.d,(a-a.b-p.s-s.u-y.r-R.des-d),urdes,yRd,urdes-yRd,1,3,100,100,50,50,2142,75228,1388,39344,79.113,76.108,60.838,52.812,50,b-p,50,b-p,5.959,b-p,3.277,b-p,1012,30398.147,2020,60177.45,4002,210357.889,1012,30398.147,1814,51058.022,60,1433.611,99.508,96.524,72.386,69.27,99.084,96.724,99.901,62.317,59.272,59.503,28.037,16.541
accède,aksEd,VER,6,5,1.2,5,2,3.10977,2.7,.a.cc.è.d.e,.a.ks.E.d.°,(a-a.cc-ks.è-E.d-d.e-°),.a.cc.è.de,.a.ks.E.d,(a-a.cc-ks.è-E.de-d),ède,Ed,ède-Ed,5,165,100,100,31.25,9.636,1121,49638,384,12604,85.215,82.525,46.656,38.763,33,cc-ks,33,cc-ks,30.275,cc-ks,14.903,è-E,1012,30398.147,544,16472.531,2962,168375.764,1012,30398.147,201,6850.852,121,6315.962,99.508,96.524,75.522,72.034,100,100,99.901,62.317,15.091,9.931,56.542,72.874
accédé,aksede,VER,6,6,1,5,3,3.10977,2.75,.a.cc.é.d.é,.a.ks.e.d.e,(a-a.cc-ks.é-e.d-d.é-e),.a.cc.é.d.é,.a.ks.e.d.e,(a-a.cc-ks.é-e.d-d.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,1144,26168,912,21892,85.186,82.34,67.093,57.472,33,cc-ks,33,cc-ks,30.275,cc-ks,15.278,cc-ks,1012,30398.147,1335,29148.074,704,12995.844,1012,30398.147,948,22021.456,704,12995.844,99.508,96.524,75.473,71.726,100,100,99.901,62.317,69.628,66.171,26.677,26.53
accélérant,akseleR@,"ADJ,VER",10,8,1.25,8,4,3.10977,4.8,.a.cc.é.l.é.r.an.t,.a.ks.e.l.e.R.@.#,(a-a.cc-ks.é-e.l-l.é-e.r-R.an-@.t-#),.a.cc.é.l.é.r.ant,.a.ks.e.l.e.R.@,(a-a.cc-ks.é-e.l-l.é-e.r-R.ant-@),ant,@,ant-@,298,7768,100,100,34.571,14.148,2316,68183,1730,45786,91.033,89.212,75.563,66.789,33,cc-ks,33,cc-ks,30.275,cc-ks,15.278,cc-ks,1012,30398.147,2576,71418.323,2055,86557.658,1012,30398.147,2153,56403.456,331,8088.567,99.508,96.524,88.278,86.428,99.084,98.604,99.901,62.317,78.558,77.186,36.254,19.274
accélération,akseleRasj§,NC,12,11,1.09,10,5,3.10977,4.65,.a.cc.é.l.é.r.a.t.i.on,.a.ks.e.l.e.R.a.s.j.§,(a-a.cc-ks.é-e.l-l.é-e.r-R.a-a.t-s.i-j.on-§),.a.cc.é.l.é.r.a.t.i.on,.a.ks.e.l.e.R.a.s.j.§,(a-a.cc-ks.é-e.l-l.é-e.r-R.a-a.t-s.i-j.on-§),ion,j§,ion-j§,269,11985,99.63,99.974,61.982,71.028,2127,60094,1759,49394,75.355,73.622,75.302,72.244,33,cc-ks,33,cc-ks,9.193,t-s,15.278,cc-ks,1012,30398.147,2481,68240.373,408,24620.095,1012,30398.147,2022,54864.793,408,24620.095,99.508,96.524,69.377,67.488,99.029,99.786,99.901,62.317,75.54,75.639,48.804,55.006
accélère,akselER,VER,8,7,1.14,7,3,6.21954,3.85,.a.cc.é.l.è.r.e,.a.ks.e.l.E.R.°,(a-a.cc-ks.é-e.l-l.è-E.r-R.e-°),.a.cc.é.l.è.re,.a.ks.e.l.E.R,(a-a.cc-ks.é-e.l-l.è-E.re-R),ère,ER,ère-ER,42,1881,100,100,14.737,15.625,2291,78546,974,30215,89.917,88.003,58.57,51.464,33,cc-ks,33,cc-ks,30.275,cc-ks,14.903,è-E,1012,30398.147,2413,70209.01,2962,168375.764,1012,30398.147,1074,28791.184,537,35725.115,99.508,96.524,85.982,83.899,100,100,99.901,62.317,54.328,52.513,34.204,36.411
accent,aks@,NC,6,4,1.5,4,2,40.42703,2.3,.a.cc.en.t,.a.ks.@.#,(a-a.cc-ks.en-@.t-#),.a.cc.ent,.a.ks.@,(a-a.cc-ks.ent-@),ent,@,ent-@,303,8885,100,100,35.151,16.181,1025,36659,451,13272,70.782,69.593,49.674,29.554,33,cc-ks,33,cc-ks,30.275,cc-ks,15.278,cc-ks,1012,30398.147,517,14839.889,2055,86557.658,1012,30398.147,33,366.957,309,9049.468,99.508,96.524,42.267,41.622,99.084,98.604,99.901,62.317,15.278,4.781,33.844,21.564
accents,aks@,NC,7,4,1.75,5,2,24.87817,2.5,.a.cc.en.t.s,.a.ks.@.#.#,(a-a.cc-ks.en-@.t-#.s-#),.a.cc.ents,.a.ks.@,(a-a.cc-ks.ents-@),ents,@,ents-@,84,2926,100,100,9.745,5.33,1271,56749,379,11279,58.003,57.235,41.752,24.806,33,cc-ks,33,cc-ks,6.889,t-#,10.077,ents-@,1012,30398.147,447,14328.841,4002,210357.889,1012,30398.147,33,366.957,92,3072.466,99.508,96.524,30.474,30.976,99.084,96.724,99.901,62.317,15.278,4.781,10.077,7.321
acceptable,aksEptabl,ADJ,10,9,1.11,9,3,3.10977,4.05,.a.cc.e.p.t.a.b.l.e,.a.ks.E.p.t.a.b.l.°,(a-a.cc-ks.e-E.p-p.t-t.a-a.b-b.l-l.e-°),.a.cc.e.p.t.a.b.le,.a.ks.E.p.t.a.b.l,(a-a.cc-ks.e-E.p-p.t-t.a-a.b-b.le-l),able,abl,able-abl,40,889,97.561,85.629,54.054,76.266,1905,71451,1452,42499,79.86,80.131,74.002,66.897,33,cc-ks,33,cc-ks,22.647,e-E,15.278,cc-ks,1012,30398.147,1882,63469.787,2962,168375.764,1012,30398.147,1716,49657.57,307,11646.13,99.508,96.524,74.176,74.95,100,100,99.901,62.317,76.02,75.011,35.991,22.791
acceptait,aksEptE,VER,9,7,1.29,7,3,3.10977,3.3,.a.cc.e.p.t.ai.t,.a.ks.E.p.t.E.#,(a-a.cc-ks.e-E.p-p.t-t.ai-E.t-#),.a.cc.e.p.t.ait,.a.ks.E.p.t.E,(a-a.cc-ks.e-E.p-p.t-t.ait-E),ait,E,ait-E,265,5815,100,100,38.913,6.38,1441,54423,1211,35380,75.936,77.165,66.035,53.474,33,cc-ks,33,cc-ks,22.647,e-E,15.278,cc-ks,1012,30398.147,1404,52800.371,2055,86557.658,1012,30398.147,1491,43988.69,287,5924.17,99.508,96.524,66.592,69.006,99.084,98.604,99.901,62.317,64.14,62.666,39.751,7.865
accepte,aksEpt,VER,7,6,1.17,6,2,12.43909,2.4,.a.cc.e.p.t.e,.a.ks.E.p.t.°,(a-a.cc-ks.e-E.p-p.t-t.e-°),.a.cc.e.p.te,.a.ks.E.p.t,(a-a.cc-ks.e-E.p-p.te-t),epte,Ept,epte-Ept,2,16,100,100,40,38.462,1684,73152,850,28214,72.221,73.716,60.934,55.219,33,cc-ks,33,cc-ks,22.647,e-E,15.278,cc-ks,1012,30398.147,1532,60035.111,2962,168375.764,1012,30398.147,961,30611.678,358,18839.025,99.508,96.524,58.454,61.444,100,100,99.901,62.317,54.217,51.662,42.118,58.793
accepté,aksEpte,VER,7,7,1,6,3,21.7684,2.5,.a.cc.e.p.t.é,.a.ks.E.p.t.e,(a-a.cc-ks.e-E.p-p.t-t.é-e),.a.cc.e.p.t.é,.a.ks.E.p.t.e,(a-a.cc-ks.e-E.p-p.t-t.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,1307,47256,1280,36558,72.221,73.716,63.856,56.585,33,cc-ks,33,cc-ks,22.647,e-E,15.278,cc-ks,1012,30398.147,1532,60035.111,704,12995.844,1012,30398.147,1491,43988.69,704,12995.844,99.508,96.524,58.454,61.444,100,100,99.901,62.317,64.14,62.666,26.677,26.53
acceptée,aksEpte,VER,8,7,1.14,7,3,3.10977,2.6,.a.cc.e.p.t.é.e,.a.ks.E.p.t.e.#,(a-a.cc-ks.e-E.p-p.t-t.é-e.e-#),.a.cc.e.p.t.ée,.a.ks.E.p.t.e,(a-a.cc-ks.e-E.p-p.t-t.ée-e),ée,e,ée-e,303,4428,100,100,13.698,7.787,1497,48491,1219,35187,64.253,63.749,61.545,53.787,33,cc-ks,33,cc-ks,16.592,e-#,12.808,ée-e,1012,30398.147,1776,59036.758,591,13854.118,1012,30398.147,1491,43988.69,338,4770.442,99.508,96.524,66.734,68.97,16.592,4.866,99.901,62.317,64.14,62.666,12.808,9.738
acceptent,aksEpt,VER,9,6,1.5,7,2,9.32932,2.9,.a.cc.e.p.t.en.t,.a.ks.E.p.t.#.#,(a-a.cc-ks.e-E.p-p.t-t.en-#.t-#),.a.cc.e.p.tent,.a.ks.E.p.t,(a-a.cc-ks.e-E.p-p.tent-t),eptent,Ept,eptent-Ept,1,9,100,100,20,23.076,1406,52888,797,24752,66.811,66.979,54.652,44.414,33,cc-ks,33,cc-ks,22.647,e-E,10.706,tent-t,1012,30398.147,1355,50651.507,2055,86557.658,1012,30398.147,961,30611.678,91,1526.903,99.508,96.524,53.817,54.746,99.084,98.604,99.901,62.317,54.217,51.662,10.706,4.765
accepter,aksEpte,VER,8,7,1.14,6,3,9.32932,2.65,.a.cc.e.p.t.er,.a.ks.E.p.t.e,(a-a.cc-ks.e-E.p-p.t-t.er-e),.a.cc.e.p.t.er,.a.ks.E.p.t.e,(a-a.cc-ks.e-E.p-p.t-t.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,1324,48366,1297,37669,71.976,72.88,64.494,58.853,33,cc-ks,33,cc-ks,22.647,e-E,15.278,cc-ks,1012,30398.147,1532,60035.111,805,19660.067,1012,30398.147,1491,43988.69,805,19660.067,99.508,96.524,58.454,61.444,98.531,94.982,99.901,62.317,64.14,62.666,30.504,40.134
acceptés,aksEpte,VER,8,7,1.14,7,3,3.10977,2.6,.a.cc.e.p.t.é.s,.a.ks.E.p.t.e.#,(a-a.cc-ks.e-E.p-p.t-t.é-e.s-#),.a.cc.e.p.t.és,.a.ks.E.p.t.e,(a-a.cc-ks.e-E.p-p.t-t.és-e),és,e,és-e,339,4764,100,100,15.325,8.377,1985,76563,1226,35270,76.037,76.871,61.81,53.956,33,cc-ks,33,cc-ks,22.647,e-E,14.399,és-e,1012,30398.147,1776,59036.758,4002,210357.889,1012,30398.147,1491,43988.69,380,5268.017,99.508,96.524,66.734,68.97,99.084,96.724,99.901,62.317,64.14,62.666,14.399,10.754
acceptons,aksEpt§,VER,9,7,1.29,7,3,3.10977,3.35,.a.cc.e.p.t.on.s,.a.ks.E.p.t.§.#,(a-a.cc-ks.e-E.p-p.t-t.on-§.s-#),.a.cc.e.p.t.ons,.a.ks.E.p.t.§,(a-a.cc-ks.e-E.p-p.t-t.ons-§),ons,§,ons-§,178,3340,100,100,44.389,9.443,1734,73370,1218,35747,76.001,76.886,66.049,55.191,33,cc-ks,33,cc-ks,22.647,e-E,15.278,cc-ks,1012,30398.147,1425,54566.096,4002,210357.889,1012,30398.147,1491,43988.69,333,8128.987,99.508,96.524,66.683,68.991,99.084,96.724,99.901,62.317,64.14,62.666,39.833,18.162
accès,aksE,NC,5,4,1.25,4,2,43.53681,2.7,.a.cc.è.s,.a.ks.E.#,(a-a.cc-ks.è-E.s-#),.a.cc.ès,.a.ks.E,(a-a.cc-ks.ès-E),ès,E,ès-E,11,3682,100,100,1.615,4.04,1357,64535,352,11482,82.217,78.506,38.901,23.995,33,cc-ks,11,ès-E,30.275,cc-ks,1.524,ès-E,1012,30398.147,207,8691.837,4002,210357.889,1012,30398.147,33,366.957,11,3681.97,99.508,96.524,65.138,60.388,99.084,96.724,99.901,62.317,15.278,4.781,1.524,4.888
accessible,aksEsibl,ADJ,10,8,1.25,8,3,3.10977,4.1,.a.cc.e[CC].ss.i.b.l.e,.a.ks.E.s.i.b.l.°,(a-a.cc-ks.e[CC]-E.ss-s.i-i.b-b.l-l.e-°),.a.cc.e.ss.i.b.le,.a.ks.E.s.i.b.l,(a-a.cc-ks.e-E.ss-s.i-i.b-b.le-l),ible,ibl,ible-ibl,17,631,100,100,60.714,61.702,1630,57524,1142,32782,85.718,84.053,61.736,52.624,33,cc-ks,33,cc-ks,30.275,cc-ks,15.278,cc-ks,1012,30398.147,1511,43569.651,2962,168375.764,1012,30398.147,1335,37485.363,307,11646.13,99.508,96.524,81.039,79.316,100,100,99.901,62.317,59.252,56.651,35.991,22.791
accessibles,aksesibl,ADJ,11,8,1.38,9,2,18.65863,4.25,.a.cc.e[CC].ss.i.b.l.e.s,.a.ks.e.s.i.b.l.°.#,(a-a.cc-ks.e[CC]-e.ss-s.i-i.b-b.l-l.e-°.s-#),.a.cc.e.ss.i.b.les,.a.ks.e.s.i.b.l,(a-a.cc-ks.e-e.ss-s.i-i.b-b.les-l),ibles,ibl,ibles-ibl,11,392,100,100,39.286,38.298,1755,60528,912,23877,78.18,76.323,51.341,41.891,33,cc-ks,33,cc-ks,6.78,e[CC]-e,3.293,e-e,1012,30398.147,1540,43428.159,4002,210357.889,1012,30398.147,1034,26510.318,197,4188.885,99.508,96.524,72.147,70.522,99.084,96.724,99.901,62.317,47.278,44.545,23.095,8.197
accessoire,aksEswaR,"ADJ,NC",10,8,1.25,7,3,12.43909,4.4,.a.cc.e[CC].ss.oi.r.e,.a.ks.E.s.wa.R.°,(a-a.cc-ks.e[CC]-E.ss-s.oi-wa.r-R.e-°),.a.cc.e.ss.oi.re,.a.ks.E.s.wa.R,(a-a.cc-ks.e-E.ss-s.oi-wa.re-R),oire,waR,oire-waR,20,1064,64.516,52.374,44.444,43.073,1681,63549,644,23586,84.761,83.813,55.41,47.456,33,cc-ks,33,cc-ks,30.275,cc-ks,15.278,cc-ks,1012,30398.147,1558,49214.202,2962,168375.764,1012,30398.147,579,18848.402,537,35725.115,99.508,96.524,78.764,78.033,100,100,99.901,62.317,49.589,46.502,34.204,36.411
accessoires,aksEswaR,"ADJ,NC",11,8,1.38,8,3,18.65863,4.45,.a.cc.e[CC].ss.oi.r.e.s,.a.ks.E.s.wa.R.°.#,(a-a.cc-ks.e[CC]-E.ss-s.oi-wa.r-R.e-°.s-#),.a.cc.e.ss.oi.res,.a.ks.E.s.wa.R,(a-a.cc-ks.e-E.ss-s.oi-wa.res-R),oires,waR,oires-waR,7,124,58.333,33.614,15.556,5.038,1880,68190,597,19121,86.552,85.427,52.406,42.905,33,cc-ks,33,cc-ks,30.275,cc-ks,15.278,cc-ks,1012,30398.147,1672,50794.188,4002,210357.889,1012,30398.147,579,18848.402,254,8934.409,99.508,96.524,82.303,81.695,99.084,96.724,99.901,62.317,49.589,46.502,16.178,9.106
accident,aksid@,NC,8,6,1.33,6,3,24.87817,2.7,.a.cc.i.d.en.t,.a.ks.i.d.@.#,(a-a.cc-ks.i-i.d-d.en-@.t-#),.a.cc.i.d.ent,.a.ks.i.d.@,(a-a.cc-ks.i-i.d-d.ent-@),ent,@,ent-@,303,8885,100,100,35.151,16.181,1601,50340,1230,31888,75.59,74.422,69.072,56.879,33,cc-ks,33,cc-ks,30.275,cc-ks,15.278,cc-ks,1012,30398.147,1635,46270.498,2055,86557.658,1012,30398.147,1609,39998.091,309,9049.468,99.508,96.524,63.737,62.851,99.084,98.604,99.901,62.317,70.538,66.837,33.844,21.564
accidentellement,aksid@tElm@,ADV,16,11,1.45,12,5,3.10977,6.9,.a.cc.i.d.en.t.e[CC].ll.e.m.en.t,.a.ks.i.d.@.t.E.l.°.m.@.#,(a-a.cc-ks.i-i.d-d.en-@.t-t.e[CC]-E.ll-l.e-°.m-m.en-@.t-#),.a.cc.i.d.en.t.e.ll.e.m.ent,.a.ks.i.d.@.t.E.l.°.m.@,(a-a.cc-ks.i-i.d-d.en-@.t-t.e-E.ll-l.e-°.m-m.ent-@),ent,@,ent-@,303,8885,100,100,35.151,16.181,1569,47528,1218,32710,81.617,81.456,67.634,61.957,33,cc-ks,33,cc-ks,30.275,cc-ks,7.067,ll-l,1012,30398.147,1576,45337.557,2055,86557.658,1012,30398.147,1342,35595.657,309,9049.468,99.508,96.524,78.082,78.235,99.084,98.604,99.901,62.317,67.803,66.405,33.844,21.564
accidents,aksid@,NC,9,6,1.5,7,3,12.43909,3.4,.a.cc.i.d.en.t.s,.a.ks.i.d.@.#.#,(a-a.cc-ks.i-i.d-d.en-@.t-#.s-#),.a.cc.i.d.ents,.a.ks.i.d.@,(a-a.cc-ks.i-i.d-d.ents-@),ents,@,ents-@,84,2926,100,100,9.745,5.33,1694,62735,1186,30693,65.775,64.905,64.319,54.03,33,cc-ks,33,cc-ks,6.889,t-#,10.077,ents-@,1012,30398.147,1369,39677.747,4002,210357.889,1012,30398.147,1609,39998.091,92,3072.466,99.508,96.524,52.367,52.218,99.084,96.724,99.901,62.317,70.538,66.837,10.077,7.321
acclamés,aklame,VER,8,6,1.33,7,3,3.10977,3.85,.a.cc.l.a.m.é.s,.a.k.l.a.m.e.#,(a-a.cc-k.l-l.a-a.m-m.é-e.s-#),.a.cc.l.a.m.és,.a.k.l.a.m.e,(a-a.cc-k.l-l.a-a.m-m.és-e),és,e,és-e,339,4764,100,100,15.325,8.377,2211,73596,1393,37665,94.18,93.711,67.123,60.07,76,cc-k,76,cc-k,69.725,cc-k,5.26,cc-k,1012,30398.147,2092,54882.763,4002,210357.889,1012,30398.147,1741,47581.28,380,5268.017,99.508,96.524,92.133,92.545,99.084,96.724,99.901,62.317,72.11,71.838,14.399,10.754
accommodation,akOmOdasj§,NC,13,10,1.3,10,5,3.10977,5.7,.a.cc.o.mm.o.d.a.t.i.on,.a.k.O.m.O.d.a.s.j.§,(a-a.cc-k.o-O.mm-m.o-O.d-d.a-a.t-s.i-j.on-§),.a.cc.o.mm.o.d.a.t.i.on,.a.k.O.m.O.d.a.s.j.§,(a-a.cc-k.o-O.mm-m.o-O.d-d.a-a.t-s.i-j.on-§),ion,j§,ion-j§,269,11985,99.63,99.974,61.982,71.028,1299,38233,1273,36876,76.859,76.078,67.232,64.8,76,cc-k,76,cc-k,9.193,t-s,5.26,cc-k,1012,30398.147,1446,40913.504,408,24620.095,1012,30398.147,1414,39218.286,408,24620.095,99.508,96.524,71.256,70.559,99.029,99.786,99.901,62.317,65.452,66.335,48.804,55.006
